Term,PosScore,NegScore
thirst,0.0,-0.9
goofy,0.0,-0.9
uproot,0.0,-0.9
war-like,0.0,-0.9
despise,0.0,-0.9
rascal,0.0,-0.9
tangled,0.0,-0.9
shrivel,0.0,-0.9
toll,0.0,-0.9
pedantic,0.0,-0.9
criticized,0.0,-0.9
agonies,0.0,-0.9
plotters,0.0,-0.9
undid,0.0,-0.9
darkness,0.0,-0.9
slogged,0.0,-0.9
dump,0.0,-0.9
laconic,0.0,-0.9
gainsay,0.0,-0.9
dodgey,0.0,-0.9
blockhead,0.0,-0.9
fathomless,0.0,-0.9
overpaid,0.0,-0.9
perversely,0.0,-0.9
measly,0.0,-0.9
disobey,0.0,-0.9
doddering,0.0,-0.9
exhorbitant,0.0,-0.9
racist,0.0,-0.9
cruelly,0.0,-0.9
gimmicking,0.0,-0.9
irresponsibly,0.0,-0.9
indignant,0.0,-0.9
imbalance,0.0,-0.9
sadden,0.0,-0.9
despondently,0.0,-0.9
bleak,0.0,-0.9
appall,0.0,-0.9
critic,0.0,-0.9
disquieting,0.0,-0.9
lag,0.0,-0.9
oddly,0.0,-0.9
gabble,0.0,-0.9
embarrassing,0.0,-0.9
mindless,0.0,-0.9
self-criticism,0.0,-0.9
unproving,0.0,-0.9
reluctance,0.0,-0.9
subjected,0.0,-0.9
bewilderment,0.0,-0.9
stubbornly,0.0,-0.9
squander,0.0,-0.9
anemic,0.0,-0.9
inferiority,0.0,-0.9
travesties,0.0,-0.9
contention,0.0,-0.9
profane,0.0,-0.9
invasive,0.0,-0.9
cursed,0.0,-0.9
strained,0.0,-0.9
low-rated,0.0,-0.9
dirtbag,0.0,-0.9
contemptuously,0.0,-0.9
denunciate,0.0,-0.9
lurk,0.0,-0.9
fractious,0.0,-0.9
obliterate,0.0,-0.9
phobic,0.0,-0.9
banalize,0.0,-0.9
complex,0.0,-0.9
pugnacity,0.0,-0.9
hasseling,0.0,-0.9
throb,0.0,-0.9
snare,0.0,-0.9
anti-semites,0.0,-0.9
blindingly,0.0,-0.9
chagrin,0.0,-0.9
aggravation,0.0,-0.9
hindrance,0.0,-0.9
dispensable,0.0,-0.9
inculcate,0.0,-0.9
hysteric,0.0,-0.9
mock,0.0,-0.9
ineligible,0.0,-0.9
prisoner,0.0,-0.9
pander,0.0,-0.9
quibble,0.0,-0.9
un-viewable,0.0,-0.9
menacing,0.0,-0.9
despoil,0.0,-0.9
get-rich,0.0,-0.9
omit,0.0,-0.9
weakness,0.0,-0.9
pique,0.0,-0.9
death,0.0,-0.9
intimidating,0.0,-0.9
dishonorablely,0.0,-0.9
unknown,0.0,-0.9
rejection,0.0,-0.9
retract,0.0,-0.9
scam,0.0,-0.9
wripping,0.0,-0.9
backward,0.0,-0.9
escapade,0.0,-0.9
drag,0.0,-0.9
butchery,0.0,-0.9
misinformed,0.0,-0.9
mist,0.0,-0.9
hamper,0.0,-0.9
misfit,0.0,-0.9
moronic,0.0,-0.9
excoriate,0.0,-0.9
deceitfully,0.0,-0.9
distraughtly,0.0,-0.9
partisans,0.0,-0.9
needlessly,0.0,-0.9
bleeding,0.0,-0.9
dazed,0.0,-0.9
delays,0.0,-0.9
impugn,0.0,-0.9
weaken,0.0,-0.9
ramshackle,0.0,-0.9
erase,0.0,-0.9
treachery,0.0,-0.9
unachievable,0.0,-0.9
belittled,0.0,-0.9
scoldingly,0.0,-0.9
troublemaker,0.0,-0.9
incoherence,0.0,-0.9
vulgar,0.0,-0.9
conflicts,0.0,-0.9
desolate,0.0,-0.9
dismayingly,0.0,-0.9
discouraging,0.0,-0.9
ill-advised,0.0,-0.9
lanky,0.0,-0.9
pessimistically,0.0,-0.9
unuseably,0.0,-0.9
spinster,0.0,-0.9
invader,0.0,-0.9
disloyal,0.0,-0.9
inability,0.0,-0.9
oppose,0.0,-0.9
pillory,0.0,-0.9
dissonantly,0.0,-0.9
unclean,0.0,-0.9
frustrations,0.0,-0.9
hoodium,0.0,-0.9
anti-occupation,0.0,-0.9
difficult,0.0,-0.9
fatuously,0.0,-0.9
upsets,0.0,-0.9
tarnishes,0.0,-0.9
damper,0.0,-0.9
undermines,0.0,-0.9
smokescreen,0.0,-0.9
shameless,0.0,-0.9
instigate,0.0,-0.9
harshly,0.0,-0.9
slime,0.0,-0.9
vainly,0.0,-0.9
timidly,0.0,-0.9
sarcasm,0.0,-0.9
arcane,0.0,-0.9
disoobedient,0.0,-0.9
demonizing,0.0,-0.9
dissonant,0.0,-0.9
skinny,0.0,-0.9
stifle,0.0,-0.9
flairs,0.0,-0.9
downer,0.0,-0.9
miserably,0.0,-0.9
issues,0.0,-0.9
precariously,0.0,-0.9
unworthy,0.0,-0.9
strike,0.0,-0.9
complain,0.0,-0.9
dissolute,0.0,-0.9
contrive,0.0,-0.9
stagnate,0.0,-0.9
mystify,0.0,-0.9
belligerently,0.0,-0.9
bull****,0.0,-0.9
dupe,0.0,-0.9
fretful,0.0,-0.9
stinging,0.0,-0.9
impatient,0.0,-0.9
disproportionate,0.0,-0.9
smoke,0.0,-0.9
trapped,0.0,-0.9
slogging,0.0,-0.9
fatcats,0.0,-0.9
grievance,0.0,-0.9
deceiver,0.0,-0.9
tanks,0.0,-0.9
superficial,0.0,-0.9
urgent,0.0,-0.9
head-aches,0.0,-0.9
inexplainable,0.0,-0.9
jabber,0.0,-0.9
deadlock,0.0,-0.9
uncertain,0.0,-0.9
mischievous,0.0,-0.9
offensive,0.0,-0.9
autocrat,0.0,-0.9
repugnant,0.0,-0.9
scoundrel,0.0,-0.9
demoralizingly,0.0,-0.9
rampant,0.0,-0.9
egocentric,0.0,-0.9
alarming,0.0,-0.9
fears,0.0,-0.9
regret,0.0,-0.9
wastefulness,0.0,-0.9
angry,0.0,-0.9
enviously,0.0,-0.9
annoying,0.0,-0.9
costly,0.0,-0.9
wripped,0.0,-0.9
creep,0.0,-0.9
pugnacious,0.0,-0.9
mordant,0.0,-0.9
defensive,0.0,-0.9
disgustingly,0.0,-0.9
needy,0.0,-0.9
inextricably,0.0,-0.9
maladjusted,0.0,-0.9
spews,0.0,-0.9
gaudy,0.0,-0.9
unsteadily,0.0,-0.9
whiny,0.0,-0.9
dents,0.0,-0.9
maladjustment,0.0,-0.9
dispiriting,0.0,-0.9
malcontented,0.0,-0.9
disliking,0.0,-0.9
figurehead,0.0,-0.9
dissing,0.0,-0.9
misunderstanding,0.0,-0.9
lech,0.0,-0.9
nettlesome,0.0,-0.9
overstatement,0.0,-0.9
fiction,0.0,-0.9
confuses,0.0,-0.9
inhibit,0.0,-0.9
perverts,0.0,-0.9
retreat,0.0,-0.9
miscellaneous,0.0,-0.9
sorely,0.0,-0.9
acrid,0.0,-0.9
daze,0.0,-0.9
grate,0.0,-0.9
bitterly,0.0,-0.9
aggravating,0.0,-0.9
dragging,0.0,-0.9
engulf,0.0,-0.9
musty,0.0,-0.9
deride,0.0,-0.9
perverse,0.0,-0.9
prison,0.0,-0.9
torrent,0.0,-0.9
embroiled,0.0,-0.9
mindlessly,0.0,-0.9
heckled,0.0,-0.9
brutally,0.0,-0.9
fatigue,0.0,-0.9
doubts,0.0,-0.9
incorrectly,0.0,-0.9
obstruction,0.0,-0.9
mishap,0.0,-0.9
object,0.0,-0.9
agonizingly,0.0,-0.9
malevolently,0.0,-0.9
onerous,0.0,-0.9
stun,0.0,-0.9
stunt,0.0,-0.9
asininely,0.0,-0.9
complicated,0.0,-0.9
delinquent,0.0,-0.9
reprehensibly,0.0,-0.9
squealing,0.0,-0.9
overbearingly,0.0,-0.9
smouldering,0.0,-0.9
inexcusable,0.0,-0.9
disappointment,0.0,-0.9
loot,0.0,-0.9
unclear,0.0,-0.9
polemize,0.0,-0.9
cheating,0.0,-0.9
brutalize,0.0,-0.9
fat-cats,0.0,-0.9
condemns,0.0,-0.9
fuzzy,0.0,-0.9
pointlessly,0.0,-0.9
bicker,0.0,-0.9
sh*t,0.0,-0.9
licentiously,0.0,-0.9
skulk,0.0,-0.9
anti-social,0.0,-0.9
sugar-coat,0.0,-0.9
unconfirmed,0.0,-0.9
afflictive,0.0,-0.9
depravedly,0.0,-0.9
unproves,0.0,-0.9
sadness,0.0,-0.9
cave,0.0,-0.9
unsavory,0.0,-0.9
scaly,0.0,-0.9
fundamentalism,0.0,-0.9
diappointed,0.0,-0.9
inaudible,0.0,-0.9
bulky,0.0,-0.9
appallingly,0.0,-0.9
distort,0.0,-0.9
failing,0.0,-0.9
forswear,0.0,-0.9
busybody,0.0,-0.9
menacingly,0.0,-0.9
farce,0.0,-0.9
lividly,0.0,-0.9
high-priced,0.0,-0.9
massacre,0.0,-0.9
repressive,0.0,-0.9
hostilities,0.0,-0.9
exaggeration,0.0,-0.9
imposition,0.0,-0.9
cancerous,0.0,-0.9
snobish,0.0,-0.9
illegally,0.0,-0.9
manipulators,0.0,-0.9
obese,0.0,-0.9
stunted,0.0,-0.9
discoutinous,0.0,-0.9
oversize,0.0,-0.9
bungling,0.0,-0.9
inequitably,0.0,-0.9
flaky,0.0,-0.9
ruthlessly,0.0,-0.9
slowww,0.0,-0.9
wildly,0.0,-0.9
harangue,0.0,-0.9
tattered,0.0,-0.9
dissent,0.0,-0.9
madman,0.0,-0.9
overstatements,0.0,-0.9
disputed,0.0,-0.9
irritations,0.0,-0.9
gravely,0.0,-0.9
crash,0.0,-0.9
limit,0.0,-0.9
deluded,0.0,-0.9
misguide,0.0,-0.9
struggles,0.0,-0.9
radicals,0.0,-0.9
derogatory,0.0,-0.9
suicidal,0.0,-0.9
lewdness,0.0,-0.9
wobbled,0.0,-0.9
unwelcome,0.0,-0.9
discombobulate,0.0,-0.9
fatalistic,0.0,-0.9
malady,0.0,-0.9
wounds,0.0,-0.9
misalign,0.0,-0.9
jitter,0.0,-0.9
dizzingly,0.0,-0.9
vilify,0.0,-0.9
indiscretion,0.0,-0.9
bumpping,0.0,-0.9
jolt,0.0,-0.9
adversity,0.0,-0.9
wrongful,0.0,-0.9
confound,0.0,-0.9
awkwardness,0.0,-0.9
tempest,0.0,-0.9
overkill,0.0,-0.9
despot,0.0,-0.9
sarcastic,0.0,-0.9
maddening,0.0,-0.9
ordeal,0.0,-0.9
chore,0.0,-0.9
stressfully,0.0,-0.9
foully,0.0,-0.9
back-wood,0.0,-0.9
crush,0.0,-0.9
splatter,0.0,-0.9
undue,0.0,-0.9
vent,0.0,-0.9
full-blown,0.0,-0.9
backwardness,0.0,-0.9
maniac,0.0,-0.9
insincerely,0.0,-0.9
miscalculate,0.0,-0.9
traumatized,0.0,-0.9
instigators,0.0,-0.9
lawlessness,0.0,-0.9
corrupts,0.0,-0.9
jeopardy,0.0,-0.9
stupid,0.0,-0.9
spiritless,0.0,-0.9
alarm,0.0,-0.9
inhospitality,0.0,-0.9
harmed,0.0,-0.9
franticly,0.0,-0.9
stigma,0.0,-0.9
prosecute,0.0,-0.9
hardships,0.0,-0.9
impulsive,0.0,-0.9
cliched,0.0,-0.9
scarce,0.0,-0.9
unusably,0.0,-0.9
lure,0.0,-0.9
corrupt,0.0,-0.9
dauntingly,0.0,-0.9
crummy,0.0,-0.9
wayward,0.0,-0.9
negligence,0.0,-0.9
vociferously,0.0,-0.9
slaughtered,0.0,-0.9
complaining,0.0,-0.9
indulge,0.0,-0.9
spurious,0.0,-0.9
missed,0.0,-0.9
knave,0.0,-0.9
tenderness,0.0,-0.9
wariness,0.0,-0.9
villianous,0.0,-0.9
odor,0.0,-0.9
stagnation,0.0,-0.9
asinininity,0.0,-0.9
demon,0.0,-0.9
caustically,0.0,-0.9
disinclined,0.0,-0.9
facetious,0.0,-0.9
fiend,0.0,-0.9
galling,0.0,-0.9
havoc,0.0,-0.9
nefarious,0.0,-0.9
grumpiest,0.0,-0.9
insubstantially,0.0,-0.9
blurred,0.0,-0.9
aching,0.0,-0.9
losses,0.0,-0.9
cussed,0.0,-0.9
diss,0.0,-0.9
cloudy,0.0,-0.9
horrific,0.0,-0.9
raging,0.0,-0.9
bewilder,0.0,-0.9
hates,0.0,-0.9
vexation,0.0,-0.9
jerky,0.0,-0.9
irascible,0.0,-0.9
deplorably,0.0,-0.9
evils,0.0,-0.9
setbacks,0.0,-0.9
mischief,0.0,-0.9
reprehensible,0.0,-0.9
susceptible,0.0,-0.9
itchy,0.0,-0.9
fuck,0.0,-0.9
hassled,0.0,-0.9
lack,0.0,-0.9
apathetic,0.0,-0.9
overpower,0.0,-0.9
backache,0.0,-0.9
disruption,0.0,-0.9
harpy,0.0,-0.9
misunderstandings,0.0,-0.9
misbecome,0.0,-0.9
misconception,0.0,-0.9
overblown,0.0,-0.9
symptom,0.0,-0.9
trashy,0.0,-0.9
graceless,0.0,-0.9
obstruct,0.0,-0.9
straggler,0.0,-0.9
dismally,0.0,-0.9
bomb,0.0,-0.9
cranky,0.0,-0.9
lambaste,0.0,-0.9
inane,0.0,-0.9
suck,0.0,-0.9
absurdness,0.0,-0.9
headaches,0.0,-0.9
confounding,0.0,-0.9
pigs,0.0,-0.9
offensiveness,0.0,-0.9
evade,0.0,-0.9
lesser-known,0.0,-0.9
infections,0.0,-0.9
stammer,0.0,-0.9
insulting,0.0,-0.9
victimize,0.0,-0.9
incompatible,0.0,-0.9
derisive,0.0,-0.9
thoughtlessly,0.0,-0.9
curses,0.0,-0.9
deadly,0.0,-0.9
drunkard,0.0,-0.9
inadverent,0.0,-0.9
paradoxical,0.0,-0.9
suicide,0.0,-0.9
downheartedly,0.0,-0.9
discouragingly,0.0,-0.9
testy,0.0,-0.9
sap,0.0,-0.9
unreliability,0.0,-0.9
mislike,0.0,-0.9
incapable,0.0,-0.9
paranoia,0.0,-0.9
perilous,0.0,-0.9
guilt,0.0,-0.9
subservience,0.0,-0.9
unjustified,0.0,-0.9
scrambling,0.0,-0.9
belie,0.0,-0.9
mar,0.0,-0.9
sinking,0.0,-0.9
contagious,0.0,-0.9
craps,0.0,-0.9
overbalance,0.0,-0.9
uncivilized,0.0,-0.9
wilt,0.0,-0.9
headache,0.0,-0.9
traumatize,0.0,-0.9
worse,0.0,-0.9
disturbingly,0.0,-0.9
disfavor,0.0,-0.9
deteriorating,0.0,-0.9
regretted,0.0,-0.9
disobedient,0.0,-0.9
dings,0.0,-0.9
inapt,0.0,-0.9
snag,0.0,-0.9
surrender,0.0,-0.9
illicit,0.0,-0.9
obtuse,0.0,-0.9
defiantly,0.0,-0.9
flawed,0.0,-0.9
falsely,0.0,-0.9
infirm,0.0,-0.9
persecute,0.0,-0.9
cataclysmic,0.0,-0.9
stubbornness,0.0,-0.9
castrated,0.0,-0.9
bleeds,0.0,-0.9
stodgy,0.0,-0.9
absentee,0.0,-0.9
slave,0.0,-0.9
deficient,0.0,-0.9
meddlesome,0.0,-0.9
inundate,0.0,-0.9
cramping,0.0,-0.9
loathe,0.0,-0.9
despotic,0.0,-0.9
dick,0.0,-0.9
insupportable,0.0,-0.9
straining,0.0,-0.9
defiance,0.0,-0.9
bombastic,0.0,-0.9
confusion,0.0,-0.9
disagreement,0.0,-0.9
pretence,0.0,-0.9
criticisms,0.0,-0.9
concede,0.0,-0.9
accusations,0.0,-0.9
lackey,0.0,-0.9
stricken,0.0,-0.9
unfamiliar,0.0,-0.9
sceptical,0.0,-0.9
chastisement,0.0,-0.9
choke,0.0,-0.9
cruelties,0.0,-0.9
renounce,0.0,-0.9
stolen,0.0,-0.9
unipolar,0.0,-0.9
spitefully,0.0,-0.9
humiliation,0.0,-0.9
die,0.0,-0.9
revenge,0.0,-0.9
underlings,0.0,-0.9
reactionary,0.0,-0.9
hurted,0.0,-0.9
deprave,0.0,-0.9
heartless,0.0,-0.9
horrify,0.0,-0.9
contempt,0.0,-0.9
rhetorical,0.0,-0.9
crook,0.0,-0.9
less-developed,0.0,-0.9
brutish,0.0,-0.9
reprehensive,0.0,-0.9
inflammation,0.0,-0.9
relentless,0.0,-0.9
corrupted,0.0,-0.9
forlornly,0.0,-0.9
contortions,0.0,-0.9
loathsomely,0.0,-0.9
pitiless,0.0,-0.9
disapprove,0.0,-0.9
bastard,0.0,-0.9
ineffectiveness,0.0,-0.9
strife,0.0,-0.9
chronic,0.0,-0.9
unthinkably,0.0,-0.9
harass,0.0,-0.9
taint,0.0,-0.9
haggle,0.0,-0.9
mistaken,0.0,-0.9
denigrate,0.0,-0.9
irresolute,0.0,-0.9
sinister,0.0,-0.9
clamor,0.0,-0.9
fake,0.0,-0.9
imaginary,0.0,-0.9
cliche,0.0,-0.9
insubordinate,0.0,-0.9
despicable,0.0,-0.9
fainthearted,0.0,-0.9
refute,0.0,-0.9
slower,0.0,-0.9
deceivers,0.0,-0.9
nagging,0.0,-0.9
solemn,0.0,-0.9
fiendish,0.0,-0.9
haphazard,0.0,-0.9
truant,0.0,-0.9
greed,0.0,-0.9
unfinished,0.0,-0.9
slow-moving,0.0,-0.9
despondency,0.0,-0.9
mischievously,0.0,-0.9
plague,0.0,-0.9
cackle,0.0,-0.9
inhumane,0.0,-0.9
fumble,0.0,-0.9
cataclysmically,0.0,-0.9
disdain,0.0,-0.9
overstate,0.0,-0.9
odder,0.0,-0.9
inexorably,0.0,-0.9
rile,0.0,-0.9
mirage,0.0,-0.9
longingly,0.0,-0.9
hedge,0.0,-0.9
precipitate,0.0,-0.9
scarily,0.0,-0.9
uproariously,0.0,-0.9
blurry,0.0,-0.9
capriciously,0.0,-0.9
messy,0.0,-0.9
unilateralism,0.0,-0.9
immovable,0.0,-0.9
roadblocks,0.0,-0.9
somber,0.0,-0.9
teasingly,0.0,-0.9
upsetting,0.0,-0.9
irked,0.0,-0.9
restriction,0.0,-0.9
inexperience,0.0,-0.9
breaking,0.0,-0.9
illogically,0.0,-0.9
infraction,0.0,-0.9
flaws,0.0,-0.9
annihilation,0.0,-0.9
emptiness,0.0,-0.9
nauseate,0.0,-0.9
alarmed,0.0,-0.9
contamination,0.0,-0.9
disrespect,0.0,-0.9
problems,0.0,-0.9
punishable,0.0,-0.9
unfaithfully,0.0,-0.9
frazzled,0.0,-0.9
juddering,0.0,-0.9
emasculate,0.0,-0.9
fracture,0.0,-0.9
bleed,0.0,-0.9
horrified,0.0,-0.9
insensitively,0.0,-0.9
suspicion,0.0,-0.9
contend,0.0,-0.9
pain,0.0,-0.9
rants,0.0,-0.9
dishonestly,0.0,-0.9
ignore,0.0,-0.9
tense,0.0,-0.9
dissatisfying,0.0,-0.9
uglier,0.0,-0.9
crumble,0.0,-0.9
apologist,0.0,-0.9
narrower,0.0,-0.9
flabbergast,0.0,-0.9
slothful,0.0,-0.9
woe,0.0,-0.9
inconsistencies,0.0,-0.9
errant,0.0,-0.9
rusts,0.0,-0.9
demonize,0.0,-0.9
wheedle,0.0,-0.9
distressing,0.0,-0.9
argumentative,0.0,-0.9
blockage,0.0,-0.9
complaints,0.0,-0.9
fatigued,0.0,-0.9
irking,0.0,-0.9
kills,0.0,-0.9
lambast,0.0,-0.9
ineloquent,0.0,-0.9
scary,0.0,-0.9
groundless,0.0,-0.9
ignoble,0.0,-0.9
sticky,0.0,-0.9
aggression,0.0,-0.9
deception,0.0,-0.9
malaise,0.0,-0.9
aimless,0.0,-0.9
misapprehend,0.0,-0.9
nervous,0.0,-0.9
commonplace,0.0,-0.9
awfully,0.0,-0.9
bitchy,0.0,-0.9
tingling,0.0,-0.9
stubborn,0.0,-0.9
gawky,0.0,-0.9
dastardly,0.0,-0.9
propagandize,0.0,-0.9
contaminated,0.0,-0.9
shamelessly,0.0,-0.9
scathingly,0.0,-0.9
detracts,0.0,-0.9
discontented,0.0,-0.9
vile,0.0,-0.9
bloated,0.0,-0.9
worrying,0.0,-0.9
devilment,0.0,-0.9
sickening,0.0,-0.9
smudge,0.0,-0.9
repression,0.0,-0.9
joke,0.0,-0.9
snagged,0.0,-0.9
sully,0.0,-0.9
dearth,0.0,-0.9
hardhearted,0.0,-0.9
rebuff,0.0,-0.9
exhausted,0.0,-0.9
screwed,0.0,-0.9
scum,0.0,-0.9
silly,0.0,-0.9
decrepitude,0.0,-0.9
steals,0.0,-0.9
lurking,0.0,-0.9
collude,0.0,-0.9
botch,0.0,-0.9
sunken,0.0,-0.9
dispiritedly,0.0,-0.9
gimmick,0.0,-0.9
helplessness,0.0,-0.9
tedious,0.0,-0.9
shambles,0.0,-0.9
deprecate,0.0,-0.9
smelly,0.0,-0.9
illogical,0.0,-0.9
stereotype,0.0,-0.9
wane,0.0,-0.9
jeering,0.0,-0.9
dizzy,0.0,-0.9
battering,0.0,-0.9
fails,0.0,-0.9
bugs,0.0,-0.9
cry,0.0,-0.9
unwarranted,0.0,-0.9
overbearing,0.0,-0.9
riled,0.0,-0.9
disagree,0.0,-0.9
remorseful,0.0,-0.9
idiots,0.0,-0.9
scarier,0.0,-0.9
unsuccessful,0.0,-0.9
frenetic,0.0,-0.9
anti-proliferation,0.0,-0.9
disasterous,0.0,-0.9
adversarial,0.0,-0.9
expropriate,0.0,-0.9
fright,0.0,-0.9
glum,0.0,-0.9
mangling,0.0,-0.9
outraged,0.0,-0.9
threesome,0.0,-0.9
besmirch,0.0,-0.9
unsuccessfully,0.0,-0.9
clique,0.0,-0.9
snagging,0.0,-0.9
smugly,0.0,-0.9
unsettle,0.0,-0.9
resurgent,0.0,-0.9
discriminate,0.0,-0.9
disregard,0.0,-0.9
biases,0.0,-0.9
scandalously,0.0,-0.9
unusually,0.0,-0.9
slanderous,0.0,-0.9
taboo,0.0,-0.9
hypocrite,0.0,-0.9
unnerved,0.0,-0.9
addict,0.0,-0.9
crueler,0.0,-0.9
fib,0.0,-0.9
disaffect,0.0,-0.9
weed,0.0,-0.9
condescension,0.0,-0.9
hopelessness,0.0,-0.9
misguidance,0.0,-0.9
regressive,0.0,-0.9
unlamentably,0.0,-0.9
useless,0.0,-0.9
emaciated,0.0,-0.9
blandish,0.0,-0.9
afraid,0.0,-0.9
calumniate,0.0,-0.9
venomously,0.0,-0.9
disown,0.0,-0.9
womanizer,0.0,-0.9
rifts,0.0,-0.9
ax,0.0,-0.9
mangled,0.0,-0.9
sobering,0.0,-0.9
fraudulent,0.0,-0.9
inundated,0.0,-0.9
jeers,0.0,-0.9
seethe,0.0,-0.9
feckless,0.0,-0.9
bleakness,0.0,-0.9
imprison,0.0,-0.9
detest,0.0,-0.9
dishearten,0.0,-0.9
short-lived,0.0,-0.9
disbeliever,0.0,-0.9
poisonously,0.0,-0.9
disapprobation,0.0,-0.9
negate,0.0,-0.9
pestilent,0.0,-0.9
recoil,0.0,-0.9
laughingstock,0.0,-0.9
retaliate,0.0,-0.9
spite,0.0,-0.9
dissident,0.0,-0.9
spook,0.0,-0.9
languid,0.0,-0.9
extortion,0.0,-0.9
corrode,0.0,-0.9
dismissively,0.0,-0.9
misleading,0.0,-0.9
insurrection,0.0,-0.9
defiler,0.0,-0.9
lackluster,0.0,-0.9
shroud,0.0,-0.9
distress,0.0,-0.9
shrill,0.0,-0.9
oddities,0.0,-0.9
calumny,0.0,-0.9
overloaded,0.0,-0.9
detracting,0.0,-0.9
flagrantly,0.0,-0.9
friggin,0.0,-0.9
curt,0.0,-0.9
huckster,0.0,-0.9
cynicism,0.0,-0.9
detract,0.0,-0.9
anxieties,0.0,-0.9
outrageously,0.0,-0.9
restrict,0.0,-0.9
sorry,0.0,-0.9
bribery,0.0,-0.9
regress,0.0,-0.9
washed-out,0.0,-0.9
meddle,0.0,-0.9
apprehensively,0.0,-0.9
hiss,0.0,-0.9
rankle,0.0,-0.9
cripple,0.0,-0.9
self-destructive,0.0,-0.9
mishandle,0.0,-0.9
disconsolate,0.0,-0.9
petrified,0.0,-0.9
occluded,0.0,-0.9
debaser,0.0,-0.9
rattles,0.0,-0.9
evildoer,0.0,-0.9
shortchange,0.0,-0.9
boredom,0.0,-0.9
touchy,0.0,-0.9
warning,0.0,-0.9
languorously,0.0,-0.9
flirty,0.0,-0.9
unjustly,0.0,-0.9
braggart,0.0,-0.9
harmful,0.0,-0.9
overawe,0.0,-0.9
mediocrity,0.0,-0.9
overthrows,0.0,-0.9
timidity,0.0,-0.9
blunders,0.0,-0.9
conscons,0.0,-0.9
skeletons,0.0,-0.9
sensationalize,0.0,-0.9
balk,0.0,-0.9
discompose,0.0,-0.9
second-class,0.0,-0.9
discriminatory,0.0,-0.9
degrade,0.0,-0.9
disconcertingly,0.0,-0.9
fudge,0.0,-0.9
envious,0.0,-0.9
fragmented,0.0,-0.9
annoyances,0.0,-0.9
scandalize,0.0,-0.9
squirm,0.0,-0.9
cruelty,0.0,-0.9
reprehension,0.0,-0.9
stringent,0.0,-0.9
stingy,0.0,-0.9
throttle,0.0,-0.9
disconcerted,0.0,-0.9
disconcerting,0.0,-0.9
ashamed,0.0,-0.9
declining,0.0,-0.9
plot,0.0,-0.9
dreadfulness,0.0,-0.9
fallout,0.0,-0.9
improper,0.0,-0.9
skeptical,0.0,-0.9
daunt,0.0,-0.9
affront,0.0,-0.9
bewildered,0.0,-0.9
distains,0.0,-0.9
smelled,0.0,-0.9
flirt,0.0,-0.9
boggle,0.0,-0.9
hysteria,0.0,-0.9
worsen,0.0,-0.9
screech,0.0,-0.9
orphan,0.0,-0.9
counter-productive,0.0,-0.9
irksome,0.0,-0.9
complains,0.0,-0.9
acrimony,0.0,-0.9
disintegrated,0.0,-0.9
life-threatening,0.0,-0.9
satirize,0.0,-0.9
unstable,0.0,-0.9
berate,0.0,-0.9
rotten,0.0,-0.9
declaim,0.0,-0.9
illusions,0.0,-0.9
kill,0.0,-0.9
rantingly,0.0,-0.9
hopelessly,0.0,-0.9
dissuasive,0.0,-0.9
berserk,0.0,-0.9
snags,0.0,-0.9
self-defeating,0.0,-0.9
horrendous,0.0,-0.9
onslaught,0.0,-0.9
broken,0.0,-0.9
thankless,0.0,-0.9
imprecisely,0.0,-0.9
bully,0.0,-0.9
god-awful,0.0,-0.9
disaffirm,0.0,-0.9
crappy,0.0,-0.9
splitting,0.0,-0.9
unconvincingly,0.0,-0.9
animosity,0.0,-0.9
inconsistency,0.0,-0.9
jagged,0.0,-0.9
mundane,0.0,-0.9
inanely,0.0,-0.9
broken-hearted,0.0,-0.9
immorality,0.0,-0.9
irritation,0.0,-0.9
oppressive,0.0,-0.9
overrun,0.0,-0.9
ironic,0.0,-0.9
torturing,0.0,-0.9
stupified,0.0,-0.9
moan,0.0,-0.9
selfishness,0.0,-0.9
drawbacks,0.0,-0.9
prejudge,0.0,-0.9
staid,0.0,-0.9
blasphemy,0.0,-0.9
stink,0.0,-0.9
ache,0.0,-0.9
sneeringly,0.0,-0.9
blunt,0.0,-0.9
forlorn,0.0,-0.9
jittery,0.0,-0.9
dissatisfy,0.0,-0.9
melodramatically,0.0,-0.9
vehement,0.0,-0.9
inaccurately,0.0,-0.9
slooow,0.0,-0.9
temerity,0.0,-0.9
irrelevant,0.0,-0.9
deceptive,0.0,-0.9
heretic,0.0,-0.9
disingenuously,0.0,-0.9
ineffectually,0.0,-0.9
impetuously,0.0,-0.9
insecurity,0.0,-0.9
irritable,0.0,-0.9
defame,0.0,-0.9
discredit,0.0,-0.9
furiously,0.0,-0.9
inhibition,0.0,-0.9
precarious,0.0,-0.9
disrespectablity,0.0,-0.9
scandals,0.0,-0.9
difficulty,0.0,-0.9
manic,0.0,-0.9
chastise,0.0,-0.9
lonely,0.0,-0.9
crack,0.0,-0.9
jobless,0.0,-0.9
indiscriminately,0.0,-0.9
obnoxious,0.0,-0.9
jeopardize,0.0,-0.9
oppositions,0.0,-0.9
compulsion,0.0,-0.9
debatable,0.0,-0.9
procrastination,0.0,-0.9
temptation,0.0,-0.9
opposition,0.0,-0.9
loath,0.0,-0.9
rumbling,0.0,-0.9
scare,0.0,-0.9
famished,0.0,-0.9
miscalculation,0.0,-0.9
timid,0.0,-0.9
infringe,0.0,-0.9
flickers,0.0,-0.9
